Feature,Importance
BusVoltage (V),0.15019773767332875
SignalStrength (dBm),0.14672485900666643
GyroMagnitude (deg/s),0.14043241261551273
CPUUsage (%),0.09978636490045441
BatteryTemperature (°C),0.08839435571337505
BusCurrent (A),0.06294448952250344
BatterySOC (%),0.05326721447835447
SolarVoltage (V),0.050829254047005064
CPUTemperature (°C),0.04955909981523983
WheelTemperature (°C),0.03898214345251409
Altitude (km),0.030763249973910726
SolarCurrent (A),0.025214929765166545
OrbitPhase (%),0.021415738745233087
WheelRPM (RPM),0.021257741776064577
BatteryVoltage (V),0.017627639346673784
Sunlight (0 or 1),0.00260276916799695
