,precision,recall,f1-score,support
0,0.9805900621118012,0.1353842855611534,0.2379203164735801,9329.0
1,0.01747428429793035,1.0,0.034348355663824603,141.0
2,0.5714285714285714,0.03389830508474576,0.064,118.0
3,0.0,0.0,0.0,159.0
4,0.93,0.6888888888888889,0.7914893617021277,135.0
5,1.0,0.4878048780487805,0.6557377049180327,82.0
6,0.004032258064516129,0.05555555555555555,0.007518796992481203,36.0
accuracy,0.1543,0.1543,0.1543,0.1543
macro avg,0.5005035965575456,0.34307598759130337,0.25585921939286377,10000.0
weighted avg,0.9425512296245894,0.1543,0.23928459828554238,10000.0
