Feature,Impact,Absolute Impact
BusVoltage (V),8.17133,8.17133
WheelRPM (RPM),-0.39762,0.39762
CPUUsage (%),0.34941,0.34941
GyroMagnitude (deg/s),-0.27316,0.27316
WheelTemperature (°C),-0.12519,0.12519
BusCurrent (A),0.10018,0.10018
SignalStrength (dBm),-0.0937,0.0937
BatterySOC (%),-0.02452,0.02452
CPUTemperature (°C),-0.0233,0.0233
OrbitPhase (%),-0.0099,0.0099
Altitude (km),-0.00507,0.00507
BatteryTemperature (°C),0.00297,0.00297
BatteryVoltage (V),-0.00221,0.00221
SolarCurrent (A),-0.00104,0.00104
Sunlight (0 or 1),0.00081,0.00081
SolarVoltage (V),-0.00039,0.00039
