,precision,recall,f1-score,support
0,0.9743213499633162,0.14235180619573373,0.24841002618780397,9329.0
1,0.041976778803215244,1.0,0.08057142857142857,141.0
2,0.39705882352941174,0.4576271186440678,0.4251968503937008,118.0
3,0.0,0.0,0.0,159.0
4,0.07079181961195595,1.0,0.13222331047992164,135.0
5,0.10212765957446808,0.5853658536585366,0.17391304347826086,82.0
6,0.0028933092224231465,0.2222222222222222,0.005712245626561942,36.0
accuracy,0.1714,0.1714,0.1714,0.1714
macro avg,0.22702424867211288,0.486795285817223,0.15228955781966827,10000.0
weighted avg,0.916025106366023,0.1714,0.24112675914036144,10000.0
