Timestamp (UTC),OrbitPhase (%),Sunlight (0 or 1),BusVoltage (V),BusCurrent (A),BatteryVoltage (V),BatteryTemperature (°C),BatterySOC (%),SolarVoltage (V),SolarCurrent (A),WheelRPM (RPM),WheelTemperature (°C),CPUUsage (%),CPUTemperature (°C),SignalStrength (dBm),GyroMagnitude (deg/s),Altitude (km),FaultLabel
2026-01-01T00:00:00Z,0.0,1,32.756,12.44,7.543,30.12,65.0,21.69,3.76,-1.0,24.1,30.1,42.959,-98.0,0.028,550.11,0
2026-01-01T00:05:00Z,5.26,1,32.858,12.68,7.544,29.39,65.06,21.59,3.76,-0.5,24.1,33.4,43.481,-97.9,0.037,550.11,0
2026-01-01T00:10:00Z,10.53,1,32.731,13.84,7.551,29.89,65.11,21.59,4.87,0.0,24.3,37.2,43.973,-97.6,0.0335,550.14,0
2026-01-01T00:15:00Z,15.79,1,32.857,14.29,7.546,29.92,65.18,21.59,5.51,0.5,24.7,40.8,44.522,-97.3,0.045,550.15,0
2026-01-01T00:20:00Z,21.05,1,32.857,14.78,7.552,30.2,65.26,21.52,6.05,1.0,25.0,43.4,44.981,-96.2,0.0555,550.09,0
2026-01-01T00:25:00Z,26.32,1,32.864,14.75,7.537,29.1,65.31,21.51,5.96,1.5,25.4,45.0,45.35,-96.0,0.0385,550.09,0
2026-01-01T00:30:00Z,31.58,1,32.877,14.87,7.559,30.28,65.36,21.52,6.09,2.0,25.9,47.2,45.848,-97.4,0.04,550.09,0
2026-01-01T00:35:00Z,36.84,1,32.926,14.23,7.559,28.3,65.43,21.39,6.01,2.5,26.5,48.7,46.283,-96.9,0.0375,550.11,0
2026-01-01T00:40:00Z,42.11,1,32.799,14.1,7.552,29.55,65.5,21.29,6.13,3.0,27.1,49.8,46.832,-97.3,0.042,550.12,0
2026-01-01T00:45:00Z,47.37,1,32.822,14.1,7.568,29.64,65.55,21.29,5.91,3.5,27.6,50.9,47.306,-96.7,0.042,550.08,0
2026-01-01T00:50:00Z,52.63,1,32.796,14.32,7.572,30.32,65.61,21.28,5.41,4.0,28.2,53.0,47.795,-97.6,0.0415,550.14,0
2026-01-01T00:55:00Z,57.89,1,32.817,14.45,7.547,29.95,65.65,21.23,4.73,4.5,28.8,54.4,48.296,-96.7,0.0405,550.16,0
2026-01-01T01:00:00Z,63.16,1,32.894,14.35,7.556,29.1,65.7,21.25,3.09,5.0,29.3,54.9,48.716,-96.6,0.0375,550.09,0
2026-01-01T01:05:00Z,68.42,0,32.75,14.32,7.555,21.35,65.65,21.34,1.09,5.5,29.8,55.3,49.127,-96.3,0.041,550.15,0
2026-01-01T01:10:00Z,73.68,0,32.774,14.47,7.552,22.05,65.56,0.8,0.2,6.0,30.4,55.4,49.586,-79.5,0.0425,550.14,0
2026-01-01T01:15:00Z,78.95,0,32.885,14.55,7.568,21.88,65.48,0.8,0.05,6.5,30.9,55.4,50.036,-76.3,0.0515,550.14,0
2026-01-01T01:20:00Z,84.21,0,32.867,14.36,7.556,21.58,65.42,0.2,0.05,7.0,31.3,55.5,50.345,-88.1,0.053,550.15,0
2026-01-01T01:25:00Z,89.47,0,32.798,14.32,7.554,21.63,65.35,0.06,0.0,7.5,31.8,55.7,50.663,-95.7,0.041,550.13,0
2026-01-01T01:30:00Z,94.74,0,32.859,12.2,7.536,22.34,65.3,0.02,0.0,8.0,32.3,53.3,50.672,-95.6,0.0395,550.15,0
2026-01-01T01:35:00Z,0.0,1,32.833,11.5,7.563,29.61,65.34,18.0,3.01,8.5,32.5,50.7,50.588,-94.9,0.052,550.15,0
2026-01-01T01:40:00Z,5.26,1,32.891,11.28,7.545,29.87,65.37,20.48,4.18,9.0,32.7,48.0,50.345,-96.2,0.0445,550.12,0
2026-01-01T01:45:00Z,10.53,1,32.82,13.22,7.559,31.23,65.44,21.22,4.96,9.5,32.9,49.5,50.63,-96.5,0.035,550.1,0
2026-01-01T01:50:00Z,15.79,1,32.868,13.74,7.563,29.08,65.5,21.38,5.62,10.0,33.0,51.6,50.969,-96.3,0.0495,550.17,0
2026-01-01T01:55:00Z,21.05,1,32.949,14.17,7.575,28.82,65.55,21.32,5.94,10.5,33.2,54.9,51.416,-96.0,0.063,550.14,0
2026-01-01T02:00:00Z,26.32,1,32.847,14.03,7.549,30.4,65.58,21.3,6.09,11.0,33.3,56.3,51.767,-96.8,0.042,550.1,0
2026-01-01T02:05:00Z,31.58,1,32.819,14.03,7.532,29.53,65.63,21.29,6.04,11.5,33.5,57.4,52.166,-96.0,0.048,550.12,0
2026-01-01T02:10:00Z,36.84,1,32.853,14.03,7.565,29.75,65.68,21.24,6.1,12.0,33.5,54.9,52.091,-96.0,0.04,550.17,0
2026-01-01T02:15:00Z,42.11,1,32.799,11.91,7.582,29.47,65.72,21.25,6.15,12.5,33.6,51.9,51.971,-97.1,0.0315,550.17,0
2026-01-01T02:20:00Z,47.37,1,32.937,11.34,7.578,29.79,65.78,21.12,5.93,13.0,33.6,49.3,51.887,-96.7,0.0425,550.16,0
2026-01-01T02:25:00Z,52.63,1,32.826,11.33,7.568,30.91,65.82,21.11,5.48,13.5,33.6,47.7,51.668,-96.9,0.033,550.17,0
2026-01-01T02:30:00Z,57.89,1,32.804,11.29,7.562,30.43,65.87,21.1,4.85,14.0,33.8,46.4,51.626,-96.0,0.0415,550.15,0
2026-01-01T02:35:00Z,63.16,1,32.776,11.14,7.576,30.47,65.91,21.17,3.32,14.5,33.8,44.6,51.389,-96.8,0.033,550.13,0
2026-01-01T02:40:00Z,68.42,0,32.873,10.98,7.160048717318133,23.93681422822043,55.51727273881326,21.14,1.16,15.0,33.9,42.6,51.134,-95.5,0.033,550.14,2
2026-01-01T02:45:00Z,73.68,0,32.861,13.08,7.571,21.26,65.83,0.8,0.2,15.5,34.0,48.1724066580913,51.401,-101.13461382704725,0.049,550.16,6
