Feature,Importance
SignalStrength (dBm),0.18866622160216737
CPUUsage (%),0.14908930273647533
GyroMagnitude (deg/s),0.13886799680300294
BusVoltage (V),0.1324872297331973
BusCurrent (A),0.09226561845181074
BatteryTemperature (°C),0.07405622722174708
CPUTemperature (°C),0.03828082292661457
BatterySOC (%),0.030644084302992102
SolarVoltage (V),0.02873340542404924
WheelTemperature (°C),0.027894261135376474
WheelRPM (RPM),0.026720964291757316
SolarCurrent (A),0.02438547380928542
Altitude (km),0.01657905226291393
OrbitPhase (%),0.016259772129870967
BatteryVoltage (V),0.013164119124036368
Sunlight (0 or 1),0.0019054480447029181
