,precision,recall,f1-score,support
0,0.9757068062827225,0.9988208811233787,0.9871285555378992,9329.0
1,1.0,1.0,1.0,141.0
2,0.9333333333333333,0.4745762711864407,0.6292134831460674,118.0
3,0.0,0.0,0.0,159.0
4,0.9710144927536232,0.9925925925925926,0.9816849816849816,135.0
5,1.0,0.926829268292683,0.9620253164556962,82.0
6,0.9142857142857143,0.8888888888888888,0.9014084507042254,36.0
accuracy,0.9757,0.9757,0.9757,0.9757
macro avg,0.8277629066650561,0.7545297002977119,0.7802086839326956,10000.0
weighted avg,0.9599503371380878,0.9757,0.9668033738326489,10000.0
