,precision,recall,f1-score,support
0,0.9832083641356004,0.9979633401221996,0.9905309075433557,9329.0
1,1.0,1.0,1.0,141.0
2,0.8181818181818182,0.6101694915254238,0.6990291262135923,118.0
3,1.0,0.33962264150943394,0.5070422535211268,159.0
4,0.9776119402985075,0.9703703703703703,0.9739776951672863,135.0
5,1.0,1.0,1.0,82.0
6,0.96875,0.8611111111111112,0.9117647058823529,36.0
accuracy,0.9821,0.9821,0.9821,0.9821
macro avg,0.9639645889451324,0.8256052792340769,0.8689063840468163,10000.0
weighted avg,0.9817748895506767,0.9821,0.9791078509934378,10000.0
